"Band","Genre","Location","Years active"
"Abhorrent Contagion","Raw Black Metal/Noise","Arizona","N/A"
"Abhorrent Deformity","Death Metal","Kings Mountain/Charlotte, North Carolina","2013-Present"
"Abhorrent Dogs","Symphonic Black Metal","St. Louis, Missouri","2016-Present"
"Abiathar","Black Metal","Grand Rapids, Michigan","2003-?"
"Abigail Williams","Symphonic Black Metal/Metalcore (early); Atmospheric Black Metal (later)","Phoenix, Arizona (early); United States / Ireland (later)","2004-2007, 2007-2012, 2012-Present"
"Abinitio","Progressive Death/Thrash Metal","Denver, Colorado","2003-2009"
"Abintra","Melodic Deathcore","Pelion, South Carolina","2005-2010"
"Abintra","Symphonic Black Metal","California","N/A"
"Abiosis","Death Metal","Napa, California","?-1991 (as Biocide), 1991-1994"
"Abiosis","Death Metal","Salem, Oregon","2012-Present"
"Abiotic","Progressive Deathcore/Technical Death Metal","Miami, Florida (early); Massachusetts / Florida / California (later)","2010-2016, 2018-Present"
"Abiotx","Thrash Metal/Crossover","Phoenix, Arizona","2000-Present"
"Abject Offering","Blackened Death Metal","Seattle, Washington","2011-2013"
"Abject Sorrow","Black Metal","Boston, Massachusetts","2006-?"
"Abject Terror","Death Metal","Atlanta, Georgia","N/A"
"Abject Terror","Sludge/Doom Metal, Ambient","Austin, Texas","2017-Present"
"Abjure","Black/Death Metal","Kansas City, Missouri","2016-Present"
"Abnegation","Metalcore (early); Brutal Death Metal (later)","Erie, Pennsylvania (early); Pittsburgh, Pennsylvania (later)","1992-1998"
"Abnormal","Power/Thrash Metal","San Francisco, California","1985-?"
"Abnormal Thaughtz","Groove Metal","Long Island, New York","1991-?"
"Abnormal Thought Patterns","Technical/Progressive Metal/Shred","Pleasanton, California","2011-Present"
"Abnormality","Technical/Brutal Death Metal","Marlborough, Massachusetts","2005-2020"
"Abnutivum","Black/Death Metal","San Jose, California","2013-2014"
"Abode for the Dead","Melodic Death Metal","Spokane, Washington","2010-Present"
"Aboleo","Black Metal/Noise",,"N/A"
"Aboleth","Stoner Metal/Rock","Los Angeles, California","N/A"
"Abolish","Thrash Metal","Philadelphia, Pennsylvania","1990-1998"
"Abolisher","Death Metal","Chicago, Illinois","1994-?"
"Abolishing the Ignominious","Technical Brutal Death Metal","Pittsburgh, Pennsylvania","2016-Present"
"Abolishment of Flesh","Brutal Death Metal (early); Melodic Death Metal (later)","Amarillo, Texas","2006-2008 (as Abolishment), 2008-Present"
"Abominable","Death Metal","Peru, Maine","N/A"
"Abominant","Death Metal; Melodic Death Metal","Elizabethtown, Kentucky","1993-Present"
"Abomination","Death/Thrash Metal","Chicago, Illinois","1987-1993, 1999-1999, 2011-2011, 2015-2015, 2018-?"
"Abomination","Black Metal","Brewster, New York","1988-?"
"Abomination","Thrash Metal/Crossover","House Springs, Missouri","2002-?, ?-? (as A Bombing Nation)"
"Abomination","Death/Thrash Metal","New York","N/A"
"Abomination","Thrash Metal","Tampa, Florida","1986-1987, 1987-1987 (as Darkness), 1987-1998 (as Brutality), 2001-2005 (as Brutality), 2008-2008 (as Brutality), 2012-? (as Brutality)"
"Abomination","Black/Doom Metal/Hardcore","Boston, Massachusetts","2009-2012"
"Abominator","Death Metal","Minnesota","N/A"
"Abominatrix","Groove Metal","Poughkeepsie, New York","N/A"
"Abominism","Blackened Death Metal","Philadelphia, Pennsylvania","N/A"
"Abominog","Death Metal","Falls Church, Virginia","1987-1988 (as Usurper), 1988-1997, 2020-Present"
"Abominus","Death Metal","Ocean City, New Jersey","1994-1997 (as Abominus), 1997-1999 (as Pressure Point), 2004-? (as Abominus)"
"Aborning","Brutal Death Metal","Newnan, Georgia","2008-Present"
"Aborted Christ Childe","Black Metal","Chicago, Illinois","1993-Present"
"Aborted Deity","Blackened Death/Thrash Metal/Grindcore","Bloomington, Illinois","2014-2016"
"Aborted Existence","Technical Death Metal/Metalcore","Dover, Delaware","2002-2009, 2015-Present"
"Aborted Jesus","Death/Thrash Metal","New Jersey","2001-?"
"Aborticide","Black Metal","Nickelsville, Virginia","2003-Present"
"Abortion Autopsy","Brutal Death Metal/Goregrind","Denver, Colorado","2011-?, 2021-Present"
"Abortion Clinic","Thrash Metal/Crossover","Worcester, Massachusetts","1999-?"
"Abortion Survivor","Death Metal","Philadelphia, Pennsylvania","2015-Present"
"Abortus","Death Metal","Chicago, Illinois","1993-?"
"Abounding","Progressive Black/Death Metal","Florence, Alabama","2010-2014 (as Ridge), 2014-Present"
"Above","Black Metal/Punk","La Habra, California","N/A"
"Above All Born","Grindcore/Powerviolence/Hardcore","Milford, Connecticut","N/A"
"Above Ground","Groove/Thrash Metal","Seattle, Washington","2010-Present"
"Above the Altar","Melodic Death/Thrash Metal","Waterford, Virginia","2009-?"
"Above the Storm","Melodic Death Metal","Santa Cruz, California","2012-Present"
"Above This Burning Sky","Progressive Death Metal/Metalcore","Orefield, Pennsylvania","N/A"
"Abraded","Death Metal/Grindcore","Cleveland, Ohio","2018-Present"
"Abraham's Meat Plow","Groove Metal","Hagerstown, Maryland","1992-1992 (as Impending Doom), 1992-?"
"Abrams","Sludge/Post-Metal","Denver, Colorado","2013-Present"
"Abrasion","Thrash/Death Metal","Corpus Christi, Texas","1996-?"
"Abraxas","Black Metal","Corvallis, Oregon","1999-?"
"Abraxas","Death Metal","New York, New York","2009-2012"
"Abraxas","Death/Thrash Metal","Los Angeles, California","N/A"
"Abraxas","Melodic Heavy Metal/Hard Rock","Cleveland, Ohio","1978-1982"
"Abraxas B.C.","Death Metal/Hardcore","Massachusetts","N/A"
"Abreaction","Death Metal","Cleveland, Ohio","2020-Present"
"Abrupt Decay","Thrash Metal","Haverhill, Massachusetts","2020-Present"
"Absala","Melodic Death Metal","St. Louis, Missouri","?-2016"
"Abscess","Death Metal/Punk","Benicia, California","1994-2010"
"Abscess","Symphonic Black Metal",,"2013-Present"
"Abscesspool","Grindcore","Brooklyn (New York City), New York","2019-Present"
"Abscission","Death Metal","Oceanside, California","2008-Present"
"Absconder","Death Metal","Champaign, Illinois","2009-Present"
"Absence of Despair","Metalcore","Providence, Rhode Island","2008-Present"
"Absence of Fear","Thrash Metal","San Antonio, Texas","2005-2014"
"Absence of God","Sludge/Doom Metal","Jackson, Tennessee","2007-2014"
"Absence of God","Brutal Death Metal","Saint Paul, Minnesota","2011-?"
"Absence of Salvation","Thrash Metal","Long Island, New York","2012-2018"
"Absence of the Sun","Melodic Death Metal/Metalcore","Portland, Maine","2005-Present"
"Absent Existence","Thrash Metal","Wisconsin","N/A"
"Absent from the Body","Thrash/Groove Metal","Maryville, Tennessee","N/A"
"Absent Mind","Thrash Metal/Hardcore","Chicago, Illinois","2015-Present"
"Absentia","Melodic Death Metal","Chicago, Illinois","2015-2018"
"Absentia","Progressive Death/Doom Metal","Los Angeles, California","2018-Present"
"Absentience","Post-Black Metal","Providence, Rhode Island","2015-Present"
"Abserdo","Thrash Metal/Crossover","Philadelphia, Pennsylvania","2008-2012"
"Absintdebellum","Black/Death Metal","Portland, Oregon","2011-Present"
"Absolom","Death/Thrash Metal","Bay City, Michigan","N/A"
"Absolon","Power/Heavy Metal","Orlando, Florida","2012-Present"
"Absolum","Groove/Thrash/Stoner Metal","Louisiana","2019-Present"
"Absolute Darkness","Death/Thrash Metal","San Francisco, California","N/A"
"Absolute Destruction","Death/Thrash Metal","Philadelphia, Pennsylvania","2004-2007, 2007-? (as Barbarism)"
"Absolute Madness","Thrash Metal/Crossover","Fallbrook/Camarillo, California","2008-2011"
"Absolute Power","Groove Metal","Des Moines, Iowa","N/A"
"Absolute Vengeance","Thrash/Death Metal","Washington, D.C.","2006-?"
"Absolute Zero","Death Metal","Sheboygan Falls, Wisconsin","N/A"
"Absolute Zero","Power/Thrash Metal","Cleveland, Ohio","1982-1985 (as Salmarian), 1985-1988 (as Damien's Viper), 1988-1990"
"Absolution","Thrash Metal","Los Angeles, California","2004-?"
"Absolution","Progressive/Power Metal",,"N/A"
"Absolver","Blackened Sludge Metal/Noise","Fort Lauderdale/Miami, Florida","2016-Present"
"Absonus Noctis","Black Metal","San Antonio, Texas","2003-?"
"Absorbed","Death/Thrash Metal","Flint, Michigan","2014-Present"
"Absorde","Death Metal","Sylacauga, Alabama","N/A"
"Abstain","Grindcore","Cerritos / La Palma / Cypress, California","1994-2000"
"Abstract","Thrash Metal","Waukegan, Illinois (early); Kenosha, Wisconsin (later)","1986-1991"
"Abstract Minds","Industrial Metal","Milwaukee, Wisconsin","N/A"
"Abstract Putrefaction","Brutal Death Metal","Washington / California","2013-Present"
"Abstracter","Blackened Crust/Sludge/Doom Metal","Oakland, California","2010-Present"
"Abstraction","Black Metal","Appleton/Green Bay, Wisconsin","2003-?"
"Abstraction","Progressive Death Metal","Pasadena, Maryland","2007-Present"
"Abstral","Depressive Black Metal","Richmond, New York","2013-Present"
"Abstraqt","Progressive Metal","Texas","N/A"
"Abstruktor","Thrash Metal","Boston, Massachusetts","2012-?"
"Absu","Death Metal (early); Black/Thrash Metal (later)","Plano, Texas","1989-1990 (as Dolmen), 1990-1990 (as Eternus), 1990-1990 (as Azathoth), 1990-1991 (as Necrotic), 1991-2002 (as Absu), 2007-2020 (as Absu)"
"Absum","Funeral Doom Metal","Los Angeles, California","2007-?"
"Absurdist","Brutal/Technical Death Metal","Frederick, Maryland","N/A"
"Absvrdist","Grindcore","San Antonio, Texas","2011-Present"
"Abu","Black Metal","Minnesota","N/A"
"Abuhlzgal","Raw Black Metal","Massachusetts","N/A"
"Abuse","Sludge/Death Metal","Gulfport, Mississippi (early); Jefferson, Louisiana (later)","1992-2002"
"Abuse","Heavy Metal/Hard Rock","Detroit, Michigan","1983-1992, 2002-2002"
"Abusement Park","Groove/Death Metal","Lake Forest, California","2019-Present"
"Abwhore","Blackened Gothic Metal","Atlanta, Georgia","?-1996 (as One Flesh), 1996-?"
"Abysmal","Death/Thrash Metal","Miami, Florida","1992-1992, 2005-2017"
"Abysmal","Melodic Death Metal","Gautier,  Mississippi","2016-Present"
"Abysmal Chaos","Depressive/Post-Black Metal","Frazier Park, California (early); Eugene, Oregon (later)","?-? (as Nocturnal Abyss), 2005-Present"
"Abysmal Daemon","Death/Black Metal","Springfield, Virginia","N/A"
"Abysmal Dawn","Death Metal","Los Angeles, California","2003-Present"
"Abysmal Desolation","Black Metal","San Antonio, Texas","2000-?"
"Abysmal Dimensions","Funeral Doom Metal","Denver, Colorado","2011-Present"
"Abysmal Fall","Black/Death Metal","East Rochester, New York","1998-2002, 2007-Present"
"Abysmal Gates","Black Metal","Howell, New Jersey","2000-2012"
"Abysmal God","Progressive Black/Death Metal","Boulder, Colorado","N/A"
"Abysmal Lord","Black/Death Metal","New Orleans, Louisiana","N/A"
"Abysmal Piss","Brutal Death Metal/Goregrind","Ceres, California","2013-Present"
"Abysmal Void","Blackened Death/Doom Metal","Hartford, Connecticut / Houston, Texas","N/A"
"Abysmalist","Death Metal","Sacramento, California","2019-Present"
"Abysmally Entombed","Slam/Brutal Death Metal","El Paso, Texas","2016-Present"
"Abysme","Death Metal","Pittsburgh, Pennsylvania","2006-Present"
"Abysmia","Groove/Thrash Metal","Honolulu, Hawaii","2018-Present"
"Abyss","Thrash/Death Metal","McAllen, Texas","1995-?"
"Abyss","Melodic Heavy Metal","Los Angeles, California","1987-1994"
"Abyssal","Blackened Melodic Death Metal","Elgin, Illinois","2011-Present"
"Abyssal Catacombs","Blackened Doom Metal","Brockport, New York","2020-2021"
"Abyssal Frost","Blackened Death Metal","Atlanta, Georgia","2018-Present"
"Abyssal Rites","Black Metal","Tulsa, Oklahoma","2018-Present"
"Abyssion","Blackened Death/Thrash Metal","Valdosta, Georgia","2009-2013"
"Abyssmal Nocturne","Black Metal","Alta Loma, California","1999-?"
"Abyssus","Black Metal","Acworth, Georgia","2006-2008 (as Witching Hour), 2008-Present"
"Abyssus","Black Metal","Minnesota","N/A"
"Abyssus","Blackened Death Metal","Monmouth County, New Jersey","2011-Present"
"Abyssvs","Black/Thrash Metal","Dallas, Texas","N/A"
"Abysswalker","Heavy Metal","El Paso, Texas","2016-Present"
"Abytheon","Atmospheric Doom/Progressive Death Metal","Portland, Oregon","2015-2020"
"Abythos","Doom/Black Metal","Austin, Texas","2005-2007"
"Abyzou","Death Metal","Phoenix, Arizona","N/A"
"Abyzou","Raw Black Metal","Malvern, Pennsylvania","2021-Present"
"Abyzouth","Blackened Death Metal","New York, New York","2018-Present"
"Academy Black","Crossover/Thrash Metal","Houston, Texas","1987-Present"
"Acalvaria","Death Metal","Houston, Texas","2007-2010"
"Acanthostega","Black Metal","Mankato, Minnesota","2010-Present"
"Acanthrophis","Melodic Black/Death Metal","Milwaukee, Wisconsin","N/A"
"Acariya","Thrash Metal/Metalcore","Providence, Rhode Island","2005-2013"
"Acaro","Melodic Death Metal/Metalcore","Boston, Massachusetts","2007-2014, 2015-2017"
"Acausal Intrusion","Technical Death Metal",,"2020-Present"
"Accelerator","Thrash Metal","Long Island, New York","2014-Present"
"Accept Death","Sludge Metal","Mentor, Ohio","2005-?"
"Accersitus","Raw Black Metal","Ventura, California (early); Oregon (later)","2005-Present"
"Access","Heavy Metal/Hard Rock","Alvarado, Texas","N/A"
"Accidental Suicide","Death/Doom Metal","Milwaukee, Wisconsin","1989-?, 2014-Present"
"Accidentally Murdered","Brutal Death Metal","Stockton, California","2004-2019"
"Accion Terrorista","Thrash Metal","Salinas, California","2005-?"
"Accomplice","Progressive Metal/Rock","Corona, California","N/A"
"Accursed","Death/Black Metal","Wauwatosa, Wisconsin","1993-1995"
"Accursed","Black Metal",,"1998-2003 (as Funeral Winds), 2003-2005"
"Accursed","Death Metal","Centereach (Long Island), New York","1988-?"
"Accursed Aeons","Black Metal","Texas","2006-Present"
"Accursed Creator","Melodic Blackened Death Metal","Pensacola, Florida","2015-Present"
"Accursed Dawn","Death/Thrash Metal","Blacksburg (early)/Richmond (later), Virginia","2002-2006"
"Accursed Oath","Death/Thrash Metal","Orland Park, Illinois","1992-1996"
"Accursed Ordnance","Blackened Heavy Metal","Worcester, Massachusetts","2020-Present"
"Accursed Womb","Doom/Death Metal","Philadelphia, Pennsylvania","2019-Present"
"Accursed Wound","Black Metal, Dungeon Synth","Chico, California (early); Lawrence, Kansas (later)","2012-Present"
"Ace of Sin","Heavy Metal","Lapeer, Michigan","1998-2000"
"Ace the Raven","Death/Thrash/Power Metal","Cleveland, Ohio","1988-1997, 1997-1997 (as Raven), 1997-1998 (as Project Raven), 1999-2001, 2001-2001 (as The Savage Nomads), 2001-2010"
"Acedia","Melodic Death Metal/Metalcore","Manassas, Virginia","N/A"
"Acedia","Melodic Death Metal","St. Louis, Missouri","2010-2012"
"Acedia","Black Metal","Alton, Illinois","N/A"
"Aceldama","Thrash Metal","Midland, Michigan","1992-?"
"Aceldama","Death Metal","Decatur, Alabama","N/A"
"Aceldama","Death Metal","Arlington, Texas","?-? (as Ascalanax), 1990-?"
"Aceldama","Death Metal","California","N/A"
"Acephalix","Death Metal/Crust (early); Death Metal (later)","San Francisco, California","2007-2011, 2015-Present"
"Acephalus","Brutal/Melodic Death Metal","Worcester, Massachusetts","1997-?"
"Acerbus","Death Metal","Austin, Texas","1999-2003"
"Acerose","Metalcore/Melodic Death Metal","Providence, Rhode Island","2006-2012, 2013-2013"
"Acerus","Heavy Metal","Chicago, Illinois","2012-Present"
"Aces","Heavy Metal","Richmond, Virginia","N/A"
"Aces Load'd","Groove Metal","Omaha, Nebraska","2011-Present"
"Acetylene","Thrash/Speed Metal","Providence, Rhode Island","1999-2001"
"Achaemenid","Raw Black Metal","California","N/A"
"Acheron","Death/Black Metal","Tampa, Florida (early); Pittsburgh, Pennsylvania (mid); Columbus, Ohio (later)","1988-1992, 1994-2010, 2010-2016, 2017-2019"
"Acheron","Power/Thrash Metal","Minneapolis, Minnesota","1986-1996"
"Acheronian Dirge","Black Metal","Arvada, Colorado","1998-2010"
"Achilles","Heavy/Progressive Metal","Tampa, Florida","2019-Present"
"Achilles Steel","Melodic Heavy Metal","Gladbrook, Iowa","N/A"
"Achlyphos","Black Metal","Santa Rosa, California","2012-Present"
"Achlys","Depressive Black Metal/Ambient","Ohio","2015-2020, 2020-? (as Wisphaven)"
"Achral Necrosis","Black Metal","La Veta, Colorado","2005-Present"
"Achronica","Metalcore","Temecula, California","N/A"
"Acicula","Melodic Death Metal","Garden City (Long Island), New York","N/A"
"Acid Abortion","Black Metal","San Diego, California","N/A"
"Acid Bath","Sludge/Doom Metal","Houma/Morgan City, Louisiana","1991-1991 (as Golgotha), 1991-1997 (as Acid Bath)"
"Acid Birth","Death/Doom Metal","New Orleans, Louisiana","N/A"
"Acid Black","Progressive Power/Thrash Metal","Columbus, Ohio","1993-?"
"Acid Bomb","Groove/Death Metal",,"N/A"
"Acid Crypt","Doom Metal","Queens (New York City), New York","N/A"
"Acid Dream","Sludge/Stoner/Doom Metal","Mantisque, Michigan","2014-2015, 2015-2016 (as Ruin), 2016-Present"
"Acid Enema","Black Metal (early); Industrial Black Metal (later)","Las Vegas, Nevada","?-1995 (as Agape Christian Preschool), 1995-2002, 2002-? (as Abhorrent), 2015-Present"
"Acid Gut","Sludge Metal","Brooklyn (New York City), New York","N/A"
"Acid Indigestion","Thrash/Speed Metal","Indianapolis, Indiana","?-1992, 1992-? (as Cry of Justice)"
"Acid King","Doom/Stoner Metal","San Francisco, California","1993-Present"
"Acid Leather","Black/Thrash/Speed Metal","Columbia, Missouri","2017-Present"
"Acid Sentence","Thrash Metal/Crossover","Denver, Colorado","2020-Present"
"Acid Soul","Melodic Thrash Metal",,"N/A"
"Acid Witch","Psychedelic Doom/Death Metal","Detroit, Michigan","2007-Present"
"Acidic Assault","Thrash/Speed Metal","Lafayette, Indiana / Chicago, Illinois","2009-Present"
"Acidosis","Thrash Metal","Miami Beach, Florida","2008-2010, 2013-2014"
"Acirema","Metalcore","Wilmington, North Carolina","2004-Present"
"Acolyte","Progressive/Atmospheric Black Metal","Fargo, North Dakota","N/A"
"Acolytes","Melodic Death Metal","Philadelphia, Pennsylvania","N/A"
"Acoma","Groove Metal","Austin, Texas","N/A"
"Acousmatic Hate","Black Metal/Punk","New York, New York","2018-Present"
"Acracy","Progressive Metal","Chicago, Illinois","N/A"
"Acrasia","Progressive Metal","Cary, North Carolina","2009-2012"
"Acrid","Death Metal","Hagerstown, Maryland","2008-2013"
"Acridity","Thrash Metal","Victoria, Texas","1986-1993, 1993-? (as The Gaia Foundation)"
"Acridore","Progressive Death Metal","Madison, Wisconsin","2009-2014"
